participant_id,example_joy,example_sadness,example_fear,example_anger,example_disgust,example_surprise,example_other,example_other_text,example_pleasure,example_arousal,example_dominance,example_appraisal
64496637163c530b40210999,,,2.0,4.0,3.0,,2.0,Confusion,1.0,9.0,8.0,"The robot seems very frustrated from possibly feeling lost or confused, which is why it's moving around frantically and beeping a lot."
58aca85e0da7f10001de92d4,1.0,4.0,5.0,5.0,4.0,4.0,4.0,confused,2.0,7.0,8.0,"Maybe something unexpected happened to the robot, which leaves it seeming frustrated or afraid, moving fast and beeping loudly."
5e87b28549538b0fdf96b318,,2.0,1.0,5.0,1.0,,,,1.0,9.0,6.0,"It seems to be frustrated, which makes him move fast, make lots of noise and show red lights only. It may be because something unexpected happened."
65a95289729993e188ae78d1,,3.0,4.0,,,,,,3.0,7.0,5.0,"The robot seems unsure or confused, like it's unsure of what it's meant to be doing (moving around rapidly and changing direction)."
645920abcee1cd09e70057cd,2.0,1.0,,4.0,3.0,4.0,,,1.0,9.0,9.0,"not good at all , too fast, hard to capture"
63d16b409fc89f6d3a97f281,1.0,3.0,4.0,2.0,1.0,2.0,5.0,Panic,1.0,9.0,3.0,The robot appears panicked and afraid as if something negative has unexpectedly affected the robot.
65ae8444c7df9852ffacda7d,,3.0,5.0,2.0,1.0,1.0,4.0,Uncertainty,2.0,9.0,3.0,"The robot seems to be confused, scared and hectic. It is moving fast in various directions as is it tries to find exit from the unexpected situation."
60aa16c68f8b93c186c5465b,1.0,1.0,1.0,1.0,1.0,2.0,3.0,confusion,5.0,5.0,5.0,the robot seemed to reflect a semi confused state as it did not seem to now where it was going
601bdf107baab35ea427ec7e,4.0,1.0,2.0,3.0,1.0,5.0,4.0,confused,7.0,9.0,5.0,"The robot appears to just move around, not knowing what to do. The robot seems to be baffled by information that its brain cannot determine."
653fcb1b0f5d689c00a97629,2.0,2.0,5.0,5.0,4.0,,3.0,calm,2.0,9.0,7.0,The Robot might be facing a problem it doesn't know how to solve or a situation it is not used to. This makes it feel confused and hesitant. 
5dcccec0092079953154f997,,,1.0,4.0,,,,,4.0,9.0,6.0,"To me, the robot looked like it was going through a moment of rage as it wandered around with no sense of direction and made erratic movements."
5b0710e7a84dcf0001beee8a,4.0,1.0,1.0,1.0,1.0,4.0,,,7.0,9.0,7.0,I think the robot is very lively and is either angry or happy as it rushes from one side to the other noisily and with loud beeps
5ea1dc176205ad0c7c941ca1,2.0,1.0,4.0,3.0,3.0,3.0,3.0,panic,3.0,7.0,5.0,"it appeared panicked, not sure what to do next"
5b421b9ac2e3810001763252,2.0,2.0,4.0,4.0,2.0,2.0,4.0,Scared,3.0,9.0,7.0,the robot seems to be alert but is in fear and is moving rapidly around trying to escape a situation with nowhere to go.
596cad007f8c1e00017cb1ca,1.0,1.0,3.0,1.0,1.0,3.0,,,5.0,6.0,2.0,"The robot seemed very erratic, like it didnt know what to do next."
5d99fea08b712c0016f416e0,,3.0,3.0,4.0,4.0,,,,2.0,9.0,9.0,"The robot seems to be moving erratically and out of frustration, maybe it wants to do something else or go somewhere else."
613e1fe8294a9b1170446af3,,1.0,4.0,,,,,,5.0,9.0,4.0,THe robot seems panicked about something and this is why it is darting about
5e5afa0fab6bfd2f2bb4b250,,2.0,4.0,3.0,1.0,,5.0,Anxiety,1.0,9.0,3.0,"It looked to me like the robot was panicking, searching for help, he seemed very distressed"
63d14e00e845bfe43cf87708,1.0,3.0,,,2.0,,2.0,confused,5.0,6.0,5.0,The robot moves fast and looks like it is confsed
5fb45df6ce203a13f34ac0af,,4.0,3.0,4.0,2.0,2.0,,,3.0,6.0,4.0,"The robot seems upset and confused, that is why it's lights are red and it is moving about sporadically."
